data_type_id,slug,table,model,table_exists,model_exists,controller,controller_exists,server_side,data_rows,table_rows,relationship_rows,translation_rows,translation_locales,permission_keys,permission_role_assignments,migration_class
116,canvas-new,canvas_new,"App\Models\CanvasNew",1,1,,,0,18,2,0,0,,add_canvas_new|browse_canvas_new|delete_canvas_new|edit_canvas_new|read_canvas_new,16,standard_resource_review
117,a-order-from,a_order_from,"App\Models\AOrderFrom",1,1,,,0,5,12,0,0,,add_a_order_from|browse_a_order_from|delete_a_order_from|edit_a_order_from|read_a_order_from,18,standard_resource_review
118,user-types,user_types,"App\Models\UserType",1,1,,,0,4,8,0,48,de|ee|lt|lv|pl|ru,add_user_types|browse_user_types|delete_user_types|edit_user_types|read_user_types,18,localized_resource
119,a-painter-images-status,a_painter_images_status,"App\Models\APainterImagesStatus",1,1,,,0,7,5,0,24,de|ee|lt|lv|pl|ru,add_a_painter_images_status|browse_a_painter_images_status|delete_a_painter_images_status|edit_a_painter_images_status|read_a_painter_images_status,13,localized_resource
122,a-mail-top-sale,a_mail_top_sale,"App\Models\AMailTopSale",1,1,,,0,9,5,0,60,de|ee|lt|lv|pl|ru,add_a_mail_top_sale|browse_a_mail_top_sale|delete_a_mail_top_sale|edit_a_mail_top_sale|read_a_mail_top_sale,13,localized_resource
123,a-collage-slider,a_collage_slider,"App\Models\ACollageSlider",1,1,,,0,23,6,0,6,de|ee|lt|lv|pl|ru,add_a_collage_slider|browse_a_collage_slider|delete_a_collage_slider|edit_a_collage_slider|read_a_collage_slider,13,localized_resource
126,a-collage-advantage-screen,a_collage_advantage_screen,"App\Models\ACollageAdvantageScreen",1,1,,,0,7,7,0,84,de|ee|lt|lv|pl|ru,add_a_collage_advantage_screen|browse_a_collage_advantage_screen|delete_a_collage_advantage_screen|edit_a_collage_advantage_screen|read_a_collage_advantage_screen,13,localized_resource
127,a-collage-popular-screen,a_collage_popular_screen,"App\Models\ACollagePopularScreen",1,1,,,0,9,4,0,72,de|ee|lt|lv|pl|ru,add_a_collage_popular_screen|browse_a_collage_popular_screen|delete_a_collage_popular_screen|edit_a_collage_popular_screen|read_a_collage_popular_screen,13,localized_resource
128,a-collage-order-screen,a_collage_order_screen,"App\Models\ACollageOrderScreen",1,1,,,0,4,1,0,0,,add_a_collage_order_screen|browse_a_collage_order_screen|delete_a_collage_order_screen|edit_a_collage_order_screen|read_a_collage_order_screen,13,standard_resource_review
129,a-collag-faq,a_collag_faq,"App\Models\ACollagFaq",0,0,,,0,6,,0,0,,add_a_collag_faq|browse_a_collag_faq|delete_a_collag_faq|edit_a_collag_faq|read_a_collag_faq,13,repair_or_retire_before_migration
131,a-collage-faq,a_collage_faq,"App\Models\ACollageFaq",1,1,,,0,6,5,0,48,de|ee|lt|lv|pl|ru,add_a_collage_faq|browse_a_collage_faq|delete_a_collage_faq|edit_a_collage_faq|read_a_collage_faq,13,localized_resource
134,a-collage-why-screen,a_collage_why_screen,"App\Models\ACollageWhyScreen",1,1,,,0,8,10,0,120,de|ee|lt|lv|pl|ru,add_a_collage_why_screen|browse_a_collage_why_screen|delete_a_collage_why_screen|edit_a_collage_why_screen|read_a_collage_why_screen,13,localized_resource
137,a-collage-generator-colors,a_collage_generator_colors,"App\Models\ACollageGeneratorColor",1,1,,,0,5,20,0,0,,add_a_collage_generator_colors|browse_a_collage_generator_colors|delete_a_collage_generator_colors|edit_a_collage_generator_colors|read_a_collage_generator_colors,13,standard_resource_review
138,a-collage-fons,a_collage_fons,"App\Models\ACollageFon",1,1,,,0,5,6,0,0,,add_a_collage_fons|browse_a_collage_fons|delete_a_collage_fons|edit_a_collage_fons|read_a_collage_fons,14,standard_resource_review
139,a-collage-sticker-group,a_collage_sticker_group,"App\Models\ACollageStickerGroup",1,1,,,0,5,4,0,24,de|ee|lt|lv|pl|ru,add_a_collage_sticker_group|browse_a_collage_sticker_group|delete_a_collage_sticker_group|edit_a_collage_sticker_group|read_a_collage_sticker_group,13,localized_resource
140,a-collage-stiker,a_collage_stiker,"App\Models\ACollageStiker",1,1,,,0,7,13,1,0,,add_a_collage_stiker|browse_a_collage_stiker|delete_a_collage_stiker|edit_a_collage_stiker|read_a_collage_stiker,13,standard_resource_review
143,a-collage-head,a_collage_head,"App\Models\ACollageHead",1,1,,,0,12,1,0,12,de|ee|lt|lv|pl|ru,add_a_collage_head|browse_a_collage_head|delete_a_collage_head|edit_a_collage_head|read_a_collage_head,13,localized_resource
149,canvas-slider,canvas_slider,"App\Models\CanvasSlider",1,1,,,0,25,16,0,809,de|ee|lt|lv|pl|ru,add_canvas_slider|browse_canvas_slider|delete_canvas_slider|edit_canvas_slider|read_canvas_slider,13,localized_resource
150,why-are-you-leaving-questions,why_are_you_leaving_questions,"App\Models\WhyAreYouLeavingQuestion",1,1,,,0,6,5,0,30,de|ee|lt|lv|pl|ru,add_why_are_you_leaving_questions|browse_why_are_you_leaving_questions|delete_why_are_you_leaving_questions|edit_why_are_you_leaving_questions|read_why_are_you_leaving_questions,13,localized_resource
151,portrait-slider,portrait_slider,"App\Models\PortraitSlider",1,1,,,0,23,81,1,3875,de|ee|lt|lv|pl|ru,add_portrait_slider|browse_portrait_slider|delete_portrait_slider|edit_portrait_slider|read_portrait_slider,13,localized_resource
153,delivery-pickup-at-viar-workshop,delivery_pickup_at_viar_workshop,"App\Models\DeliveryPickupAtViarWorkshop",1,1,,,0,8,10,0,60,de|ee|lt|lv|pl|ru,add_delivery_pickup_at_viar_workshop|browse_delivery_pickup_at_viar_workshop|delete_delivery_pickup_at_viar_workshop|edit_delivery_pickup_at_viar_workshop|read_delivery_pickup_at_viar_workshop,13,localized_resource
155,payment-info,payment_Info,"App\Models\PaymentInfo",1,1,,,0,0,0,0,0,,add_payment_Info|browse_payment_Info|delete_payment_Info|edit_payment_Info|read_payment_Info,10,empty_archive_or_retire_decision
163,blog-categories,blog_categories,"App\Models\BlogCategory",1,1,,,0,9,8,0,192,de|ee|lt|lv|pl|ru,add_blog_categories|browse_blog_categories|delete_blog_categories|edit_blog_categories|read_blog_categories,13,localized_resource
164,blog-categories-short-blocks,blog_categories_short_blocks,"App\Models\BlogCategoriesShortBlock",1,1,,,0,11,5,1,48,de|ee|lt|lv|pl|ru,add_blog_categories_short_blocks|browse_blog_categories_short_blocks|delete_blog_categories_short_blocks|edit_blog_categories_short_blocks|read_blog_categories_short_blocks,13,localized_resource
170,blog-reklama-type,blog_reklama_type,"App\Models\BlogReklamaType",1,1,,,0,7,3,0,0,,add_blog_reklama_type|browse_blog_reklama_type|delete_blog_reklama_type|edit_blog_reklama_type|read_blog_reklama_type,14,standard_resource_review
172,blog-reklama,blog_reklama,"App\Models\BlogReklama",1,1,,,0,12,3,1,54,de|ee|lt|lv|pl|ru,add_blog_reklama|browse_blog_reklama|delete_blog_reklama|edit_blog_reklama|read_blog_reklama,13,localized_resource
173,blog-authors,blog_authors,"App\Models\BlogAuthor",1,1,,,0,6,3,0,18,de|ee|lt|lv|pl|ru,add_blog_authors|browse_blog_authors|delete_blog_authors|edit_blog_authors|read_blog_authors,13,localized_resource
174,a-production-time,a_production_time,"App\Models\AProductionTime",1,1,,,0,11,3,0,36,de|ee|lt|lv|pl|ru,add_a_production_time|browse_a_production_time|delete_a_production_time|edit_a_production_time|read_a_production_time,13,localized_resource
