"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"GET","admin/modular-pics-head/relation","voyager.modular-pics-head.relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","875"
"POST","admin/modular-pics-head/remove","voyager.modular-pics-head.media.remove","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","570"
"GET","admin/modular-pics-head","voyager.modular-pics-head.index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","35"
"GET","admin/modular-pics-head/create","voyager.modular-pics-head.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/modular-pics-head","voyager.modular-pics-head.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/modular-pics-head/{id}","voyager.modular-pics-head.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/modular-pics-head/{id}/edit","voyager.modular-pics-head.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/modular-pics-head/{id}","voyager.modular-pics-head.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
"DELETE","admin/modular-pics-head/{id}","voyager.modular-pics-head.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/mod-gall-page/order","voyager.mod-gall-page.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/mod-gall-page/action","voyager.mod-gall-page.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/mod-gall-page/order","voyager.mod-gall-page.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
