"file","class","kind","method","visibility","static","start_line","end_line","loc","params","complexity_signal","risk_signal","doc_summary","db_read","db_write","transaction","mail","queue","storage","http_external","auth_session","translation","voyager","order_domain","payment","crm_sa","venipak","logging","env_direct","raw_sql"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","resolveEntity","private","0","238","250","13","1","2","0","@param \App\Models\ImageAltSuggestion $suggestion @return \Illuminate\Database\Eloquent\Model|null /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","resolveModelOption","private","0","256","269","14","1","4","0","@param string $model @return string /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","imageDescriptorFromSuggestion","private","0","275","293","19","1","1","0","@param \App\Models\ImageAltSuggestion $suggestion @return \App\Services\AltGeneration\ImageDescriptor /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltGenerateCommand.php","App\Console\Commands\AltGenerateCommand","class","__construct","public","0","69","83","15","5","1","0","@param \Illuminate\Contracts\Bus\Dispatcher $dispatcher @param \App\Services\AltGeneration\AltGenerator $generator @param \App\Services\AltGeneration\LocaleResolver $localeResolver @param \App\Services\AltGeneration\SkippedAltGenerationLogg","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltGenerateCommand.php","App\Console\Commands\AltGenerateCommand","class","handle","public","0","88","187","100","0","9","5","@return int /","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltGenerateCommand.php","App\Console\Commands\AltGenerateCommand","class","runSyncJob","private","0","194","203","10","2","2","2","@param \App\Jobs\GenerateImageAltJob $job @param \App\Models\ImageAltSuggestion $suggestion @return void /","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltGenerateCommand.php","App\Console\Commands\AltGenerateCommand","class","statusesFromOption","private","0","209","214","6","1","1","0","@param string $statusOption @return array<int, string> /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltGenerateCommand.php","App\Console\Commands\AltGenerateCommand","class","resolveModelOption","private","0","220","233","14","1","4","0","@param string $model @return string /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","__construct","public","0","108","122","15","5","1","0","@param \App\Services\AltGeneration\ImageCollector $collector @param \App\Services\AltGeneration\PageContextResolver $contextResolver @param \App\Services\AltGeneration\LocaleResolver $localeResolver @param \App\Services\AltGeneration\Skippe","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","handle","public","0","127","198","72","0","8","4","@return int /","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","scanModel","private","0","206","254","49","3","9","4","@param class-string<\Illuminate\Database\Eloquent\Model> $modelClass @param string|null $since @param array<int, string> $locales @return int /","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","scanEntity","private","0","261","303","43","2","7","4","@param \Illuminate\Database\Eloquent\Model $entity @param array<int, string> $locales @return int /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","prepareSuggestion","private","0","312","355","44","4","4","2","@param \Illuminate\Database\Eloquent\Model $entity @param \App\Services\AltGeneration\ImageDescriptor $image @param array<string, mixed> $context @param string $locale @return int /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","refreshExistingSuggestion","private","0","365","413","49","5","4","4","@param \App\Models\ImageAltSuggestion $suggestion @param \App\Services\AltGeneration\ImageDescriptor $image @param array<string, mixed> $context @param string|null $hash @param string $locale @return int /","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","refreshExistingContext","private","0","424","464","41","4","4","4","Refresh audit context without resetting review/generation state. @param \App\Models\ImageAltSuggestion $suggestion @param \App\Services\AltGeneration\ImageDescriptor $image @param array<string, mixed> $context @param string $locale @return ","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","flushPendingRows","private","0","469","479","11","0","2","0","@return int /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","historyWithSnapshot","private","0","486","514","29","2","1","0","@param \App\Models\ImageAltSuggestion $suggestion @param array<string, mixed> $promptContext @return array<int, array<string, mixed>> /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","hasPageUrl","private","0","520","523","4","1","1","0","@param array<string, mixed> $context @return bool /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","pageUrlFromContext","private","0","529","534","6","1","1","0","@param array<string, mixed> $context @return string|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltScanCommand.php","App\Console\Commands\AltScanCommand","class","promptContext","private","0","541","556","16","2","1","0","@param array<string, mixed> $context @param \App\Services\AltGeneration\ImageDescriptor $image @return array<string, mixed> /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
